"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"230","005750","대림B&Co","KOSPI","비금속광물",7320,300,4.27,122040796800
"231","006570","대림통상","KOSPI","기계",4160,55,1.34,6.3336e+10
"232","001680","대상","KOSPI","음식료품",25850,150,0.58,895651446250
"233","001685","대상우","KOSPI","음식료품",18550,-750,-3.89,25417636650
"234","084690","대상홀딩스","KOSPI","기타금융",10650,-250,-2.29,385663529700
"235","084695","대상홀딩스우","KOSPI","기타금융",9890,-1060,-9.68,9034336980
"236","128820","대성산업","KOSPI","유통업",4610,-150,-3.15,208535553580
"237","117580","대성에너지","KOSPI","전기가스업",5540,0,0,1.5235e+11
"238","016710","대성홀딩스","KOSPI","서비스업",30050,100,0.33,483488242950
"239","003540","대신증권","KOSPI","증권",16800,450,2.75,852993120000
"240","003547","대신증권2우B","KOSPI","증권",13700,0,0,1.37e+11
"241","003545","대신증권우","KOSPI","증권",14000,50,0.36,3.64e+11
"242","009190","대양금속","KOSPI","철강금속",4060,-35,-0.85,120037712340
"243","014160","대영포장","KOSPI","종이목재",3035,65,2.19,328977456215
"244","047040","대우건설","KOSPI","건설업",7000,510,7.86,2909358466000
"245","009320","대우부품","KOSPI","운수장비",2510,25,1.01,119592401250
"246","042660","대우조선해양","KOSPI","운수장비",28300,150,0.53,3036325932700
"247","003090","대웅","KOSPI","기타금융",31750,1150,3.76,1846007865000
"248","069620","대웅제약","KOSPI","의약품",129000,3000,2.38,1494668175000
"249","000430","대원강업","KOSPI","운수장비",4440,-50,-1.11,2.7528e+11
"250","006340","대원전선","KOSPI","전기전자",1450,-5,-0.34,102974602150
"251","006345","대원전선우","KOSPI","전기전자",2545,25,0.99,6670954000
"252","003220","대원제약","KOSPI","의약품",16000,-50,-0.31,339597168000
"253","024890","대원화성","KOSPI","화학",2840,50,1.79,117147591680
"254","002880","대유에이텍","KOSPI","운수장비",1125,-10,-0.88,120836860875
"255","000300","대유플러스","KOSPI","전기전자",828,0,0,98494845156
"256","012800","대창","KOSPI","철강금속",1820,-15,-0.82,165875708180
"257","015230","대창단조","KOSPI","운수장비",7770,80,1.04,111003113550
"258","001070","대한방직","KOSPI","섬유의복",41200,-50,-0.12,2.1836e+11
"259","006650","대한유화","KOSPI","화학",304000,5500,1.84,1.976e+12
"260","001440","대한전선","KOSPI","전기전자",1225,50,4.26,1049179436025
"261","084010","대한제강","KOSPI","철강금속",18500,600,3.35,455964579000
"262","001790","대한제당","KOSPI","음식료품",36450,-1250,-3.32,326944034100
"263","001795","대한제당우","KOSPI","음식료품",34250,-1750,-4.86,22203453000
"264","001130","대한제분","KOSPI","음식료품",153000,500,0.33,2.5857e+11
"265","003490","대한항공","KOSPI","운수창고업",27200,0,0,9460726440000
"266","003495","대한항공우","KOSPI","운수창고업",39850,-150,-0.38,44265140900
"267","005880","대한해운","KOSPI","운수창고업",2940,55,1.91,718157004600
"268","003830","대한화섬","KOSPI","화학",135000,-1000,-0.74,1.7928e+11
"269","016090","대현","KOSPI","섬유의복",2325,-40,-1.69,102956370750
"270","069460","대호에이엘","KOSPI","철강금속",2505,75,3.09,68455197120
"271","192080","더블유게임즈","KOSPI","서비스업",63900,-700,-1.08,1174130677800
"272","012510","더존비즈온","KOSPI","서비스업",87300,1700,1.99,2643486340500
"273","004830","덕성","KOSPI","화학",27150,150,0.56,4.25712e+11
"274","004835","덕성우","KOSPI","화학",31450,7250,29.96,43778400000
"275","024900","덕양산업","KOSPI","운수장비",3275,295,9.9,106650309500
"276","145720","덴티움","KOSPI","의료정밀",64600,-1600,-2.42,715046418000
"277","002150","도화엔지니어링","KOSPI","서비스업",8680,70,0.81,292689600000
"278","001230","동국제강","KOSPI","철강금속",16900,1150,7.3,1612813255300
"279","023450","동남합성","KOSPI","화학",52800,-1200,-2.22,1.90608e+11
"280","004140","동방","KOSPI","운수창고업",6170,0,0,246625796220
"281","007590","동방아그로","KOSPI","화학",7010,-10,-0.14,95459214770
"282","005960","동부건설","KOSPI","건설업",13650,450,3.41,309942455550
"283","005965","동부건설우","KOSPI","건설업",25050,-150,-0.6,5654586600
"284","026960","동서","KOSPI","유통업",31750,-200,-0.63,3.165475e+12
"285","002210","동성제약","KOSPI","의약품",11750,50,0.43,306686397500
"286","102260","동성코퍼레이션","KOSPI","서비스업",5850,60,1.04,257359120200
"287","005190","동성화학","KOSPI","화학",17900,0,0,95506595600
"288","000640","동아쏘시오홀딩스","KOSPI","기타금융",106500,3000,2.9,655544349000
"289","170900","동아에스티","KOSPI","의약품",83600,700,0.84,705907364800
"290","028100","동아지질","KOSPI","건설업",18250,200,1.11,2.09875e+11
"291","282690","동아타이어","KOSPI","화학",11350,-100,-0.87,155869720250
"292","001520","동양","KOSPI","비금속광물",1415,-40,-2.75,337737949145
"293","001527","동양2우B","KOSPI","비금속광물",12150,-50,-0.41,3749113350
"294","001529","동양3우B","KOSPI","비금속광물",23950,-600,-2.44,2148841900
"295","084670","동양고속","KOSPI","운수창고업",23800,-50,-0.21,68914542200
"296","002900","동양물산","KOSPI","기계",1710,-20,-1.16,234060636150
"297","082640","동양생명","KOSPI","보험",4560,100,2.24,735795147600
"298","001525","동양우","KOSPI","비금속광물",6690,20,0.3,4132620390
"299","008970","동양철관","KOSPI","철강금속",1350,20,1.5,160495141500
"300","092780","동양피스톤","KOSPI","운수장비",5590,20,0.36,73611691400
