time,depth,Total coliform,E.coli,temp
277,2.890333333,2.257678575,1.838849091,19.475
278,2.6335,2.364832305,1.190331698,21.43333333
279,2.433666667,2.583765368,1.667452953,23.05
280,2.32475,2.635986112,1.716003344,24.225
281,2.665083333,2.415807728,1.86923172,22.85833333
282,3.412583333,1.176091259,0.740362689,17.875
283,4.167833333,1.40654018,1.021189299,17.56666667
284,4.803416667,1,1.021189299,17.50833333
285,5.09325,2.178976947,1.939519253,17.375
286,4.842916667,2.244277121,2.234264124,17.41666667
287,4.400833333,2.496237545,1.963787827,17.45
288,3.908083333,1.707570176,1.809559715,17.375
289,3.444333333,2.419129308,2.037426498,17.425
290,3.065083333,2.800717078,2.188928484,17.675
291,2.761416667,3.094471129,1.835690571,18.36666667
292,2.55025,3.502222216,1.99343623,19.23333333
293,2.528916667,3.441066407,2.176091259,19.475
294,2.970166667,2.147676324,1.301029996,16.96666667
295,3.587833333,1.40654018,0.740362689,14.69166667
296,4.09775,0.740362689,0,14.70833333
297,4.29625,1.40654018,0.740362689,14.975
298,4.153166667,2.01494035,1.716003344,15.16666667
299,3.784,1.716003344,1,15.54166667
300,3.396833333,1.612783857,1.491361694,16.225
301,3.045666667,1.963787827,1.618048097,17.41666667
302,2.748333333,2.128722284,1.021189299,19.45
303,2.509916667,2.243038049,1.607455023,21.225
304,2.3505,2.583765368,1.711807229,22.64166667
305,2.453083333,2.59439255,1.90579588,22.94166667
306,3.090666667,1.021189299,0,18.43333333
307,3.929333333,1.204119983,0.740362689,16.53333333
308,4.7345,1.484299839,1,16.35
309,5.27975,1.301029996,1,16.05
310,5.211583333,2.802089258,2.537189226,16.04166667
311,4.730416667,2.618048097,2.181843588,16.19166667
312,4.15175,2.303196057,1.963787827,16.3
313,3.609416667,2.60368555,2.217483944,16.35
314,3.167166667,2.755112266,2.404833717,16.58333333
315,2.82775,3.367262715,2.039414119,17.08333333
316,2.567333333,4.07809415,1.929418926,18.01666667
317,2.383916667,4.171243636,2.077367905,18.79166667
318,2.413166667,4.045420782,2.149219113,18.89166667
319,2.92575,2.600428326,1.397940009,15.64166667
320,3.568166667,2.103803721,1.40654018,13.65833333
321,4.064833333,2.156851901,1.618048097,13.64166667
322,4.21125,1.961421094,0.740362689,13.85833333
323,3.965583333,2.181843588,1.311753861,14.5
324,3.549416667,1.961421094,1.322219295,15.38333333
325,3.152166667,2.056904851,0.740362689,16.48333333
326,2.82625,2.432969291,1.550228353,18.03333333
327,2.565083333,2.902002891,1.716003344,20.26666667
328,2.380166667,2.629919036,1.759667845,21.96666667
329,2.368916667,2.410777233,1.934498451,22.84166667
330,2.878583333,1.176091259,0.740362689,19.41666667
331,3.743666667,1.301029996,1.716003344,15.31666667
332,4.63,0.740362689,1.995635195,15.03333333
333,5.32425,1.491361694,1.963787827,14.99166667
334,5.534416667,1.802773725,2.378397901,14.58333333
335,5.17225,2.45484486,2.568201724,15
336,4.547,1.961421094,2.338456494,15.21666667
337,3.90425,2.311753861,1.934498451,15.3
338,3.383333333,2.288919606,1.799340549,15.5
339,2.989583333,2.42975228,1.759667845,15.95833333
340,2.691916667,2.59439255,1.662757832,16.91666667
341,2.456916667,2.477121255,1.618048097,18.15
342,2.285333333,2.587710965,1.877946952,18.81666667
343,2.366916667,2.651762447,1.667452953,18.575
344,2.894666667,2.037426498,1.67669361,13.975
345,3.524083333,1.991226076,1.618048097,11.975
346,3.931333333,1.835690571,1.311753861,12.23333333
347,3.936333333,1.716003344,1.021189299,12.93333333
348,3.6855,1.835690571,1.322219295,13.65833333
349,3.291083333,1.799340549,0,14.70833333
350,2.93425,1.90579588,1.176091259,16.09166667
351,2.655666667,2.025305865,1.900367129,18.20833333
352,2.439583333,2.239299479,1.755874856,20.55833333
353,2.319583333,2.260071388,1.799340549,21.90833333
354,2.56975,1.799340549,1.204119983,21
355,3.286166667,1.301029996,0,14.34166667
356,4.233083333,1.301029996,0,13.86666667
357,4.990833333,1.799340549,1.491361694,14.06666667
358,5.487333333,2.080987047,1.667452953,13.89166667
359,5.371,2.441695136,2.277609214,13.91666667
360,4.819,2.405687787,1.986771734,14.075
361,4.192416667,2.51851394,2.236789099,14.2
362,3.6115,2.460145817,2.180412633,14.13333333
363,3.153166667,2.575187845,2.117271296,14.38333333
364,2.816666667,2.532117116,2.093421685,15.025
365,2.55725,2.399673721,1.986771734,16.41666667
366,2.347166667,2.818555779,1.835690571,17.71666667
367,2.2135,2.997604787,1.835690571,18.2
368,2.389833333,3.015150103,1.959041392,17.825
369,2.9505,2.62065648,1.875061263,13.29166667
370,3.544916667,1.963787827,0,12.88333333
371,3.888083333,1.919078092,1.562292864,14.05
372,3.83475,1.311753861,0.740362689,14.80833333
