"","종목코드","종목명","종가","대비","등락률","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"265","002140","고려산업",4200,-120,-2.78,182,23.08,3842,1.09,30,0.71
"266","198440","고려시멘트",3805,-70,-1.81,106,35.9,2766,1.38,15,0.39
"267","049720","고려신용정보",7320,140,1.95,476,15.38,1577,4.64,250,3.42
"268","010130","고려아연",411000,-2500,-0.6,35811,11.48,355878,1.15,14000,3.41
"269","002240","고려제강",26500,2500,10.42,434,61.06,59916,0.44,350,1.32
"270","014570","고려제약",11750,350,3.07,357,32.91,5914,1.99,100,0.85
"271","348150","고바이오랩",31000,-500,-1.59,NA,NA,NA,NA,0,0
"272","098460","고영",121500,0,0,2192,55.43,17763,6.84,550,0.45
"273","038530","골드퍼시픽",1325,40,3.11,NA,NA,629,2.11,0,0
"274","215000","골프존",91000,-400,-0.44,2585,35.2,31877,2.85,2050,2.25
"275","121440","골프존뉴딘홀딩스",7400,-10,-0.13,NA,NA,10475,0.71,117,1.58
"276","009290","광동제약",8860,160,1.84,582,15.22,8069,1.1,80,0.9
"277","014200","광림",1790,5,0.28,NA,NA,1480,1.21,0,0
"278","017040","광명전기",2570,-30,-1.15,185,13.89,2255,1.14,15,0.58
"279","017900","광전자",2345,5,0.21,66,35.53,3805,0.62,50,2.13
"280","037710","광주신세계",173000,0,0,29953,5.78,413244,0.42,3500,2.02
"281","026910","광진실업",4840,90,1.89,NA,NA,4384,1.1,0,0
"282","090150","광진윈텍",4400,70,1.62,223,19.73,4315,1.02,100,2.27
"283","355150","교보10호스팩",2100,0,0,NA,NA,NA,NA,0,0
"284","331520","교보9호스팩",2130,20,0.95,NA,NA,NA,NA,0,0
"285","030610","교보증권",8410,-20,-0.24,2391,3.52,26692,0.32,400,4.76
"286","339770","교촌에프앤비",18300,0,0,1411,12.97,3835,4.77,96,0.52
"287","053270","구영테크",4390,65,1.5,136,32.28,2717,1.62,30,0.68
"288","007690","국도화학",72800,-200,-0.27,6219,11.71,88911,0.82,1500,2.06
"289","005320","국동",3955,-55,-1.37,NA,NA,2337,1.69,0,0
"290","001140","국보",2160,15,0.7,NA,NA,1333,1.62,0,0
"291","066620","국보디자인",25500,3650,16.7,2293,11.12,16449,1.55,300,1.18
"292","043650","국순당",8420,0,0,NA,NA,11214,0.75,100,1.19
"293","006050","국영지앤엠",2920,35,1.21,32,91.25,1514,1.93,15,0.51
"294","060480","국일신동",4600,20,0.44,NA,NA,4269,1.08,50,1.09
"295","078130","국일제지",6140,110,1.82,NA,NA,357,17.2,0,0
"296","307750","국전약품",6890,60,0.88,NA,NA,NA,NA,0,0
"297","002720","국제약품",7420,20,0.27,NA,NA,3163,2.35,0,0
"298","204020","그리티",3295,85,2.65,89,37.02,3678,0.9,30,0.91
"299","083420","그린케미칼",13900,150,1.09,236,58.9,4521,3.07,170,1.22
"300","186230","그린플러스",12350,150,1.23,337,36.65,3824,3.23,0,0
