"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"302","006040","동원산업","KOSPI","농업, 임업 및 어업",241000,-9000,-3.6,886311481000
"303","030720","동원수산","KOSPI","농업, 임업 및 어업",8990,-440,-4.67,41837706950
"304","014820","동원시스템즈","KOSPI","화학",45000,-4150,-8.44,1152832995000
"305","014825","동원시스템즈우","KOSPI","화학",32100,-1850,-5.45,8517991800
"306","163560","동일고무벨트","KOSPI","화학",9470,-500,-5.02,129265500000
"307","004890","동일산업","KOSPI","철강금속",78200,0,0,189651813000
"308","002690","동일제강","KOSPI","철강금속",2685,-160,-5.62,4.0275e+10
"309","000020","동화약품","KOSPI","의약품",15050,-700,-4.44,420368623500
"310","000150","두산","KOSPI","서비스업",51400,-3000,-5.51,849325119000
"311","000157","두산2우B","KOSPI","서비스업",63200,-3300,-4.96,56440001600
"312","241560","두산밥캣","KOSPI","기계",30350,-2050,-6.33,3042562188100
"313","000155","두산우","KOSPI","서비스업",39750,-850,-2.09,158859364500
"314","042670","두산인프라코어","KOSPI","기계",8160,-200,-2.39,1762002060000
"315","034020","두산중공업","KOSPI","기계",11750,-900,-7.11,4401987746250
"316","336260","두산퓨얼셀","KOSPI","전기전자",55700,-3800,-6.39,3648000538200
"317","33626K","두산퓨얼셀1우","KOSPI","전기전자",19850,-2050,-9.36,265279370000
"318","33626L","두산퓨얼셀2우B","KOSPI","전기전자",20000,-2350,-10.51,5.9726e+10
"319","016740","두올","KOSPI","운수장비",3495,-175,-4.77,94598046600
"320","192650","드림텍","KOSPI","전기전자",10500,-700,-6.25,692100969000
"321","024090","디씨엠","KOSPI","철강금속",11950,-350,-2.85,1.39815e+11
"322","003160","디아이","KOSPI","의료정밀",5230,0,0,164728185550
"323","092200","디아이씨","KOSPI","운수장비",3900,-280,-6.7,151665419100
"324","013570","디와이","KOSPI","기타금융",5220,-380,-6.79,137388484260
"325","210540","디와이파워","KOSPI","기계",11650,-650,-5.28,128635898200
"326","007340","디티알오토모티브","KOSPI","전기전자",26050,-1450,-5.27,260343830250
"327","026890","디피씨","KOSPI","전기전자",10950,-950,-7.98,456376016250
"328","115390","락앤락","KOSPI","화학",11550,-350,-2.94,612238218900
"329","032350","롯데관광개발","KOSPI","서비스업",15550,-150,-0.96,1077236544100
"330","330590","롯데리츠","KOSPI","서비스업",5080,-10,-0.2,873601930720
"331","000400","롯데손해보험","KOSPI","보험",1740,-15,-0.85,539985196800
"332","023530","롯데쇼핑","KOSPI","유통업",105500,-4000,-3.65,2984463652500
"333","004000","롯데정밀화학","KOSPI","화학",54400,-2000,-3.55,1.40352e+12
"334","286940","롯데정보통신","KOSPI","서비스업",38800,-1650,-4.08,597377642800
"335","280360","롯데제과","KOSPI","음식료품",104500,-4500,-4.13,670546926500
"336","004990","롯데지주","KOSPI","기타금융",32450,-1450,-4.28,3404304740650
"337","00499K","롯데지주우","KOSPI","기타금융",59900,-1500,-2.44,59158617700
"338","005300","롯데칠성","KOSPI","음식료품",116000,-6500,-5.31,1041114268000
"339","005305","롯데칠성우","KOSPI","음식료품",63100,-1100,-1.71,48922061000
"340","011170","롯데케미칼","KOSPI","화학",261000,-13500,-4.92,8945884359000
"341","002270","롯데푸드","KOSPI","음식료품",340000,-13500,-3.82,384835800000
"342","071840","롯데하이마트","KOSPI","유통업",39300,-500,-1.26,927783081600
"343","027740","마니커","KOSPI","음식료품",685,-11,-1.58,135953726890
"344","204320","만도","KOSPI","운수장비",69200,-3500,-4.81,3249432704000
"345","001080","만호제강","KOSPI","철강금속",18250,-1000,-5.19,75737500000
"346","088980","맥쿼리인프라","KOSPI","기타금융",10750,-100,-0.92,4001069213750
"347","094800","맵스리얼티1","KOSPI","기타금융",3890,-10,-0.26,361125547590
"348","138040","메리츠금융지주","KOSPI","기타금융",9540,-150,-1.55,1278467744760
"349","008560","메리츠증권","KOSPI","증권",3525,-10,-0.28,2382765087675
"350","000060","메리츠화재","KOSPI","보험",15850,-350,-2.16,1911906250000
"351","090370","메타랩스","KOSPI","섬유의복",1000,-25,-2.44,63689937000
"352","017180","명문제약","KOSPI","의약품",6200,-310,-4.76,210511414800
"353","009900","명신산업","KOSPI","운수장비",35400,-1700,-4.58,1443580848000
"354","012690","모나리자","KOSPI","종이목재",4550,-160,-3.4,166399210250
"355","005360","모나미","KOSPI","유통업",5160,-240,-4.44,97510104120
"356","204210","모두투어리츠","KOSPI","서비스업",2980,-10,-0.33,23323908700
"357","009680","모토닉","KOSPI","운수장비",13100,-1000,-7.09,4.323e+11
"358","009580","무림P&P","KOSPI","종이목재",4885,-295,-5.69,304669262740
"359","009200","무림페이퍼","KOSPI","종이목재",2740,-125,-4.36,114009509400
"360","033920","무학","KOSPI","음식료품",6940,-310,-4.28,1.9779e+11
"361","008420","문배철강","KOSPI","철강금속",3205,-100,-3.03,65713733525
"362","025560","미래산업","KOSPI","의료정밀",3120,-95,-2.95,58228338480
"363","007120","미래아이앤지","KOSPI","서비스업",411,-14,-3.29,53217984828
"364","006800","미래에셋대우","KOSPI","증권",9500,-260,-2.66,6130505876000
"365","00680K","미래에셋대우2우B","KOSPI","증권",4420,-75,-1.67,6.188e+11
"366","006805","미래에셋대우우","KOSPI","증권",4970,-5,-0.1,69956477500
"367","357250","미래에셋맵스리츠","KOSPI","서비스업",4700,-15,-0.32,9.447e+10
"368","085620","미래에셋생명","KOSPI","보험",3660,0,0,647879251740
"369","002840","미원상사","KOSPI","화학",131500,-4500,-3.31,6.53555e+11
"370","268280","미원에스씨","KOSPI","화학",104500,500,0.48,5.3295e+11
"371","107590","미원홀딩스","KOSPI","기타금융",71800,-400,-0.55,1.66576e+11
"372","134380","미원화학","KOSPI","화학",60500,-500,-0.82,133055714000
"373","003650","미창석유","KOSPI","화학",63400,-500,-0.78,110295204800
"374","155900","바다로19호","KOSPI","서비스업",2260,5,0.22,34352009040
"375","003610","방림","KOSPI","섬유의복",1945,-75,-3.71,82300905050
"376","001340","백광산업","KOSPI","화학",3985,-110,-2.69,178999851895
"377","035150","백산","KOSPI","화학",5640,-140,-2.42,1.36488e+11
"378","002410","범양건영","KOSPI","건설업",4890,-170,-3.36,121428391980
"379","096300","베트남개발1","KOSPI","기타금융",234,-2,-0.85,32217169374
"380","007210","벽산","KOSPI","비금속광물",2400,-115,-4.57,1.64544e+11
"381","002760","보락","KOSPI","화학",2175,-85,-3.76,130282500000
"382","003850","보령제약","KOSPI","의약품",21400,1250,6.2,1.115368e+12
"383","000890","보해양조","KOSPI","음식료품",912,-36,-3.8,116233828176
"384","003000","부광약품","KOSPI","의약품",22400,-1000,-4.27,1452370707200
"385","001270","부국증권","KOSPI","증권",20750,-300,-1.43,215175134500
"386","001275","부국증권우","KOSPI","증권",19050,-250,-1.3,5.715e+10
"387","026940","부국철강","KOSPI","철강금속",3935,-75,-1.87,7.87e+10
"388","015350","부산가스","KOSPI","전기가스업",53900,-500,-0.92,5.929e+11
"389","011390","부산산업","KOSPI","비금속광물",134500,-7000,-4.95,1.42032e+11
"390","005030","부산주공","KOSPI","운수장비",697,-14,-1.97,39624113349
"391","002070","비비안","KOSPI","섬유의복",4460,-430,-8.79,119242069400
"392","100220","비상교육","KOSPI","서비스업",6410,-20,-0.31,83309109810
"393","030790","비케이탑스","KOSPI","서비스업",15100,-600,-3.82,198230519900
"394","352820","빅히트","KOSPI","서비스업",204500,-15500,-7.05,7285058920000
"395","005180","빙그레","KOSPI","음식료품",56000,-400,-0.71,551669496000
"396","003960","사조대림","KOSPI","음식료품",15600,-500,-3.11,142965685200
"397","008040","사조동아원","KOSPI","음식료품",1035,-50,-4.61,146084661000
"398","007160","사조산업","KOSPI","농업, 임업 및 어업",32600,-1450,-4.26,1.63e+11
"399","014710","사조씨푸드","KOSPI","음식료품",5340,-260,-4.64,91947019620
"400","006090","사조오양","KOSPI","음식료품",10150,-300,-2.87,95640800850
"401","001470","삼부토건","KOSPI","건설업",3605,-5,-0.14,495854656640
"402","006400","삼성SDI","KOSPI","전기전자",734000,-33000,-4.3,50473165020000
"403","006405","삼성SDI우","KOSPI","전기전자",537000,-47000,-8.05,868810152000
"404","006660","삼성공조","KOSPI","운수장비",8120,-400,-4.69,65985669680
"405","028260","삼성물산","KOSPI","유통업",130000,-4000,-2.99,24295320530000
"406","02826K","삼성물산우B","KOSPI","유통업",122000,-6000,-4.69,198545850000
"407","207940","삼성바이오로직스","KOSPI","의약품",793000,-45000,-5.37,5.2468845e+13
"408","032830","삼성생명","KOSPI","보험",70600,-2600,-3.55,1.412e+13
"409","018260","삼성에스디에스","KOSPI","서비스업",195500,-12500,-6.01,15127359900000
"410","028050","삼성엔지니어링","KOSPI","서비스업",12350,-700,-5.36,2.4206e+12
"411","009150","삼성전기","KOSPI","전기전자",204000,-5500,-2.63,15237513984000
"412","009155","삼성전기우","KOSPI","전기전자",138000,-9500,-6.44,401163792000
"413","005930","삼성전자","KOSPI","전기전자",82000,-1700,-2.03,489522169100000
"414","005935","삼성전자우","KOSPI","전기전자",73100,-2500,-3.31,60153017770000
