"DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"S","S","S","S","S","S","S","S","S","S","S"
" "," ","경기도 수원시 영통구 매영로 150"," ","2017","삼성전기㈜"," ","150674"," "," ","4910"
" "," ","경기도 수원시 영통구 삼성로 130"," ","2017","삼성전자㈜SAIT_종합기술원(구)"," ","150675"," "," ","10597"
" "," ","경기도 평택시 진위면 진위서로 63"," ","2017","매일유업㈜평택공장"," ","150680"," "," ","4224"
" ","113","경기도 평택시 팽성읍 추팔산단로 121","139","2017","㈜동우에너지소재","633","150694","5557"," ","11203"
" "," ","경기도 포천시 영중면 양문공단로2길 11"," ","2017","㈜경향섬유"," ","150707"," "," ","1895"
" "," ","경기도 포천시 신북면 청신로 1550-80"," ","2017","포천민자발전㈜"," ","150721"," "," ","209445"
" "," ","경기도 포천시 신북면 신창길 34-1"," ","2017","주식회사 이원환경기술"," ","150724"," "," ","7436"
" "," ","경기도 포천시 신북면 장자경제로 78"," ","2017","㈜지에스포천그린에너지 "," ","150729"," "," ","1864"
" "," ","경기도 안성시 공단로 28"," ","2017","㈜농심"," ","150736"," "," ","6813"
" "," ","경기도 용인시 기흥구 삼성로 1"," ","2017","삼성디스플레이㈜","3","150742"," "," "," "
" "," ","경기도 파주시 파주읍 휴암로 336-234"," ","2017","파주에너지서비스㈜"," ","150757"," "," ","545264"
" "," ","경기도 하남시 위례대로4길 29"," ","2017","나래에너지서비스㈜"," ","150758"," "," ","82983"
" "," ","경기도 안양시 만안구 석천로 1"," ","2017","안양새물공원"," ","150761"," "," ","467"
" ","120","경기도 양주시 남면 운하로 66-14","380","2017","㈜애니테크 상수지점","20","150764","875"," ","9594"
" ","8","경기도 연천군 청산면 초대로 246","0","2017","씨에스에너지㈜(구 굿히트)","34","150765","208"," ","170"
" "," ","경기도 평택시 고덕면 삼성로 114"," ","2017","삼성전자㈜평택사업장","328","150768"," "," ","5929"
" ","29","경기도 화성시 양감면 사격장길 88-45","7","2017","㈜알엠 화성공장","5","150769","393"," ","1463"
" "," ","경기도 화성시 동탄기흥로 166"," ","2017","한국지역난방공사 동탄지사"," ","150771"," "," ","52495"
"2017","2017","2017","2017","2017","2017","2017","2017","2017","2017","2017"
"8","8","8","8","8","8","8","8","8","8","8"
